,review_body,stars,language,translated_review
51,"Es práctico que tenga 2 tamaños de punta. La punta gorda me gustaría que fuera un poco más ""cubriente"" porque cuando colores algo extenso si haces los trazos largos te salen más claritos. Pero bastante bien, y rango de colores bueno y bonitos. El estuche podría cerrarse con velcro o botoncitos, mejor que el cierre tipo ""celo"" que trae",4,es,"It is practical that it has 2 tip sizes. I would like the thick tip to be a little more ""covering"" because when you color something extensive, if you make long strokes they come out clearer. But quite good, and a good and pretty range of colors. The case could be closed with velcro or buttons, better than the ""ceal"" type closure it comes with."
52,He pedido estos protectores en otra ocasión y la calidad era muchísimo mejor. Estos últimos que me han llegado son patéticos. El adhesivo ( por llamarlo de alguna forma) no cumple en absoluto con su función. Totalmente decepcionada. No volveré a pedirlos.,1,es,I have ordered these protectors on another occasion and the quality was much better. These last ones that have reached me are pathetic. The adhesive (so to speak) does not fulfill its function at all. Totally dissapointed. I won't order them again.
53,Ha dejado de enfriar a los dos meses de comprarlo. No recomendable.,1,es,It stopped cooling two months after purchasing it. Not recommendable.
54,"No es como lo esperaba, el camión esta acertado para la edad pero la caseta se queda muy pequeña para el propio camión, a parte de que es un juguete muy soso. El precio no corresponde a la función del juguete.",2,es,"It's not what I expected, the truck is correct for its age but the shed is too small for the truck itself, apart from the fact that it is a very bland toy. The price does not correspond to the function of the toy."
55,Es muy incomodo al sacar y paraa abrir las puertas,1,es,It is very uncomfortable when taking out and opening the doors.
56,"Es el tercero que compro, ninguno de los 3 ha marcado bien la temperatura real de la estancia. 2 estaban un par de grados por debajo y el tercero un par de grados por encima. La solución es poner termómetros fiables cerca, averiguar el margen de error y a partir de ahí programarlo para que mantengan la temperatura real que quieres. Por lo demás funcionan bien, calientan muy rápidos y valen la pena calidad precio.",3,es,"It is the third one I have bought, none of the 3 have correctly marked the real temperature of the room. 2 were a couple of degrees below and the third a couple of degrees above. The solution is to put reliable thermometers nearby, find out the margin of error and from there program it so that they maintain the real temperature you want. Otherwise they work well, heat up very quickly and are worth the price."
57,Si me llegara podria valorarlo. De momento no puedo. Más de 15 días de retraso. Y sin explicaciones de demora.,1,es,If it came to me I could evaluate it. At the moment i can not. More than 15 days late. And without explanations for delay.
58,Buena calidad y relación precio valor. Fue muy fácil de armar y fue entregada muy rápido.,5,es,Good quality and price-value ratio. It was very easy to put together and was delivered very quickly.
59,"La faja me vino doblada y en mal estado. Tengo mala sensación , ya no m e siento que compre algo nuevo",3,es,"The sash came to me folded and in poor condition. I have a bad feeling, I no longer feel like buying something new"
60,"Buena calidad y buen acabado. Totalmente recomendable. Ten en cuenta el grosor de la puerta antes de comprarlo, porque puede no valerte. En una puerta con menos grosor del necesario, la lenteja rozará con el bombillo y no podrás accionar la cerradura.",4,es,"Good quality and good finish. Totally recommended. Take into account the thickness of the door before purchasing it, because it may not work for you. In a door that is less thick than necessary, the bob will rub against the bulb and you will not be able to operate the lock."
61,"Tal y como siguen los productos de esta marca, es un articulo de gran calidad. Después de mas de un año con un uso ocasional, el producto sigue en las mismas condiciones no habiendo perdido ninguna de sus propiedades. No se pega nada. Resiste perfectamente en el horno.",4,es,"As the products of this brand continue, it is a high quality item. After more than a year with occasional use, the product is still in the same condition, having not lost any of its properties. Nothing sticks. It resists perfectly in the oven."
62,El producto está muy bien por calidad y precio,5,es,The product is very good for quality and price
63,"Es fácil de poner pero la pantalla se ve sucia constantemente,la limpias y vuelve a ensuciarse al momento",3,es,"It is easy to put on but the screen constantly looks dirty, you clean it and it immediately gets dirty again"
64,"Le doy 4 estrellas porque aunque vienen muchos accesorios, la mayoria son de un plastico pobre que se rompen con facilidad.",3,es,"I give it 4 stars because although many accessories come with it, most are made of poor plastic that break easily."
65,Se despegan una de la esquinas. Malísimas.,1,es,One of the corners comes off. Very bad.
66,"Muy buena calidad, yo tengo el número 43 en zapatos y caben perfectamente. Lo tengo en la puerta del dormitorio y queda perfecto.",5,es,"Very good quality, I have size 43 in shoes and they fit perfectly. I have it on the bedroom door and it looks perfect."
67,"Dudaba entre una L o una XL y finalmente me quedé con la L, va un pelín justa pero pero es como me gustan, la calidad del tejido me parece muy buena y cómoda de llevar, estoy encantado con la compra y la recomiendo",5,es,"I was hesitating between an L or an XL and finally I settled on the L, it's a bit tight but that's how I like them, the quality of the fabric seems very good and comfortable to wear, I'm delighted with the purchase and I recommend it"
68,"El coche es bastante simple. Lo compramos porque era de los más baratos para papá Noel y bueno...el montaje poco especificado sobretodo las pegatinas. Es simple pero funcional. No lleva nada. Solo luces delanteras que apenas se ven freno,acelerador y volante. Marcha hacia delante y atrás. Con botón muy duro para niños de 3años. El coche es de plástico pero calidad mala y nos vino con imperfecciones de fabrica que nosotros mismo lo hemos podido solucionar. Bastante incómodo cuando el niño está conduciendo por la posición. Anda bastante lento un par de km hora podían haberle dado y alguna palanca para el cambio de marcha en vez de botón. Y aunque sea de mentira cualquier cosa más ya que más simplón no puede ser. Aunque sea el más barato no lo volvería a comprar. Ni un triste claxon...",2,es,"The car is quite simple. We bought it because it was one of the cheapest for Santa Claus and well...the assembly was not very specified, especially the stickers. It is simple but functional. He doesn't carry anything. Only front lights that you can barely see the brake, accelerator and steering wheel. March forward and backward. With a very hard button for 3-year-old children. The car is made of plastic but of poor quality and it came with factory imperfections that we were able to solve ourselves. Quite uncomfortable when the child is driving the position. It runs quite slowly, a couple of km per hour could have been given and some gear change lever instead of a button. And even if anything else is a lie, it couldn't be simpler. Even if it is the cheapest I would not buy it again. Not a sad horn..."
69,"No hay más que decir, cuando abro la caja y me encuentro con ese relleno de cojines me quede alucinando... De la caja a la basura... No lo compres!!!",1,es,"There's nothing more to say, when I open the box and find that cushion filling I was amazed... From the box to the trash... Don't buy it!!!"
70,"Cómo si hubiera venido de la guerra. Presenta algunos defectos de fabrica como la colocación de algunos detalles o la pintura, pero eso es exclusivo de cada figura.",2,es,"As if it had come from war. It has some factory defects such as the placement of some details or the paint, but that is exclusive to each figure."
71,Muy buena cerveza. Buen sabor.,5,es,Very good beer. Good taste.
72,"No he probado la salida RCA, pero la de auriculares tiene mala calidad de sonido (y distorsiona a medio volumen). No recomendable para los que quieran usarlo con auriculares.",2,es,"I haven't tried the RCA output, but the headphone output has poor sound quality (and distorts at medium volume). Not recommended for those who want to use it with headphones."
73,Acabo de recibirlo por lo que no sé la durabilidad que pueda tener pero a primera vista parece robusta y muy poco peso. Mejor de lo que esperaba! 👍🏻,4,es,I just received it so I don't know how durable it may be but at first glance it seems robust and very light. Better than I expected! 👍🏻
74,"Mi sorpresa con este lápiz para el iPad es que no tiene prácticamente nada que envidiar al original y por un precio bastante más reducido. Se nota buena precision y tacto en la pantalla, buenos acabados y hasta el packaging es bonito.",5,es,"My surprise with this pencil for the iPad is that it has practically nothing to envy of the original and for a much lower price. You can see good precision and touch on the screen, good finishes and even the packaging is pretty."
75,"El teclado recibido no lleva la letra ñ, es en ingles",2,es,"The keyboard received does not have the letter ñ, it is in English"
76,Me ha gustado mucho esta historia. Muy bien ambientada en la época. Los personajes principales y los secundarios son entrañables.,5,es,I really liked this story. Very well set in the period. The main and secondary characters are endearing.
77,"Probado en un astra k y quita error y funcionan bien, pero cojen tanta temperatura que si lo quieres usar debes ponerlo fuera del faro , atado a piezas metalicas sin posibilidad que roce algo de plastico o lo derrite",2,es,"Tested on an Astra K and it eliminates the error and they work well, but they get so hot that if you want to use it you have to put it outside the headlight, tied to metal parts with no possibility of it rubbing against any plastic or melting it."
78,"la pulsera no esta mal dentro de lo que cabe,pero es de mala calidad,la correa me ha durado poco tiempo y ahora intento contactar con el vendedor a traves de esta pagina(ya le he enviado tres correos) para que me venda la correa y no hay forma de que conteste asi que no la aconsejo",1,es,"The bracelet is not bad as far as it goes, but it is of poor quality, the strap has not lasted me a short time and now I am trying to contact the seller through this page (I have already sent him three emails) so that he can sell me the strap and there is no way for her to answer so I don't advise her."
79,"La mochila me gusta, lo que pasa es que me llegó descosida una parte. No la devolví porque me urgía tener una mochila.",2,es,"I like the backpack, the thing is that part of it arrived unstitched. I didn't return it because I needed a backpack."
80,"Lo peor, no lo compro más, no hay manera d q seque, dinero tirado.",1,es,"The worst thing, I don't buy it anymore, there is no way to dry it, wasted money."
81,Algunas rayas en los cristales,3,es,Some scratches on the glass
82,Es muy útil para evitar ruidos. Al principio aprieta un poco y lo tienes q ensanchar para niños muy pequeños. Yo sé lo pongo cuando mi niña duerme y así no se los quita,4,es,It is very useful to avoid noise. At first it tightens a little and you have to widen it for very small children. I know I put it on when my daughter sleeps so she doesn't take it off.
83,El funcionamiento es tan simple que cubre las necesidades de testear un cable de 8 o 6 hilos. No tiene autoapagado ni nada extra. Los hay que hacen lo mismo por la mitad de precio. Si quieres algo más profesional hay que gastarse algo más de dinero.,2,es,The operation is so simple that it covers the needs of testing an 8 or 6 wire cable. It doesn't have auto shut-off or anything extra. There are those that do the same for half the price. If you want something more professional you have to spend a little more money.
84,"Esta bien para lo que vale, es fuerte y aguanta, aunque no recomiendo tocar mucho el regulador",4,es,"It's fine for what it's worth, it's strong and holds up, although I don't recommend touching the regulator too much."
85,Peligrosa y frágil mercancía que no resiste envío alguno. Caja llena de cristales y sin proteger la pieza. Amazon envía productos cada vez de peor calidad y a pesar de las fotos reclama pérdida de tiempo en mandar la pieza de cristales rotos,1,es,"Dangerous and fragile merchandise that cannot withstand any shipment. Box full of crystals and without protecting the piece. Amazon sends products of increasingly worse quality and despite the photos, claims a waste of time in sending the broken glass piece"
86,"Producto reacondicionado que funciona de vez en cuando. En cualquier momento deja de funcionar y hay que desconectarlo del equipo y volverlo a conectar y, a veces, no lo reconoce el equipo al conectarlo. Deberían de haber verificado bien su funcionamiento antes de ponerlo a la venta como reacondicionado.",1,es,"Refurbished product that works from time to time. At any time it stops working and you have to disconnect it from the computer and reconnect it and, sometimes, the computer does not recognize it when you connect it. They should have verified its operation well before putting it up for sale as reconditioned."
87,Hermosos. Tal como los esperaba,5,es,Beautiful. Just as I expected
88,No tan vistoso en la realidad,2,es,Not so attractive in reality
89,"Al principio todo bien, pero después de usarlo 4 veces dejó de funcionar",1,es,"At first everything was fine, but after using it 4 times it stopped working"
90,"Fue un regalo para un niño de 9 años, se sube y pliega, muy bien",4,es,"It was a gift for a 9 year old boy, it goes up and folds, very well"
91,Tenía miedo a que me fuesen a quedar pequeños (uso un 39) pero al final van perfectos. Recomiendo la compra.,4,es,I was afraid that they would be small (I wear a 39) but in the end they fit perfectly. I recommend the purchase.
92,"Es fatal, el cristal no llega a cubrir la pantalla, es pesimo",2,ca,"It's fatal, the glass doesn't cover the screen, it's terrible"
93,"La válvula de descarga es de un plástico muy malo, se sale el agua, me encontré el suelo de tarima empapado, cuando coges el depósito para rellenar y lo levantas la goma no cierra y sigue saliendo agua, puede ser que estuviera defectuoso, para mí mala experiencia, lo he devuelto y comprado otro en Amazon.",2,es,"The discharge valve is made of very bad plastic, the water comes out, I found the floorboards soaked, when you take the tank to refill and lift it up the rubber does not close and water continues to come out, it could be that it was defective, for me Bad experience, I returned it and bought another one on Amazon."
94,"Tiene poca fuerza, apenas aguanta 1kg de peso",1,es,"It has little strength, it barely supports 1kg of weight"
95,Pone que es para iPhone 7 pero no cabe en él la han hecho más pequeña y intentaba poner mi móvil y no cabía,1,es,It says it's for iPhone 7 but it doesn't fit in. They made it smaller and I was trying to put my phone in and it didn't fit.
96,"No me ha llegado aún, la fecha de entrega era el 14 de marzo, ya lo he reclamado una vez, y a fecha de hoy 26 de marzo, sigo sin recibirlo.",1,es,"It has not arrived yet, the delivery date was March 14, I have already claimed it once, and as of today, March 26, I still have not received it."
97,Muy buena relación calidad-precio,5,es,There is a good quality price relation
98,"La batería no venía en buenas condiciones. La fecha de fabricación era muy antigua, no recomendable",1,es,"The battery did not come in good condition. The manufacturing date was very old, not recommended"
99,Esta bien pero mejoraría si le dieran 20 cm mas por la parte de detrás. Por lo demás se limpia y recoge perferctamente.,3,es,It's fine but it would improve if they gave it 20 cm more on the back. Otherwise it cleans and collects perfectly.
100,"No soporta bien la interperie, y eso que vivo en un lugar donde no llueve mucho. Desde el invierno pasado ya no me funcionaba y ahora que he decidido abrirlo he comprobado que tiene todo el interior oxidado y la placa electrónica en el estado que se puede ver en las fotos. Al principio no alumbraba mal pero dura poco.",1,es,"It doesn't handle the weather well, and I live in a place where it doesn't rain much. Since last winter it no longer worked for me and now that I have decided to open it I have verified that the entire interior is rusty and the electronic board is in the state that can be seen in the photos. At first it didn't shine badly but it didn't last long."
101,"Lo mejor de la tablet es la rapidez de la carga y la capacidad de memoria. Lo peor el sonido se oye muy poco, aunque no lo he probado con auriculares, la calidad del mismo es bastante inferior a otras tablets de su rango. También he notado que en la navegación de internet funciona muy lento al escribir el texto en el buscador. Por lo demás, tiene buena imagen en HD y la duración de la carga de la batería también es aceptable, me he visto una retransmisión deportiva de 2 horas y al finalizar la misma aún disponía del 45% de carga, lo que supongo que dará para ver video durante otras 2 horas",4,es,"The best thing about the tablet is the speed of loading and the memory capacity. The worst thing is that you can hear very little sound, although I have not tried it with headphones, its quality is much lower than other tablets in its range. I have also noticed that when browsing the Internet it works very slowly when writing text in the search engine. For the rest, it has a good HD image and the battery charge duration is also acceptable, I watched a 2-hour sports broadcast and at the end of it I still had 45% charge, which I suppose will last for watch video for another 2 hours"
102,No me llego pero como siempre inmejorable el servicio postventa de Amazon,3,es,It didn't arrive but as always Amazon's after-sales service was unbeatable.
103,"Recomiendo esta fragancia masculina y fresca a todos aquellos que sienten nostalgia por la Ciudad Eterna. El producto llegó a tiempo y según lo descrito por el vendedor, además de venir en un embalaje muy seguro. Gracias",5,es,"I recommend this masculine and fresh fragrance to all those who are nostalgic for the Eternal City. The product arrived on time and as described by the seller, in addition to coming in very safe packaging. Thank you"
104,Son perfectas tal y como imaginaba. Es buena marca.,5,es,They are perfect just as I imagined. It's a good brand.
105,"La rapidez, lo uso de regalo",4,es,"The speed, I use it as a gift"
106,facil de instalar y funciona muy bien calidad precio muy bien,4,es,easy to install and works very well quality price very good
107,Me ha llegado roto:( No puedo devolverlo porque se me ha pasado el plazo,1,es,It arrived broken :( I can't return it because I missed the deadline
108,Para el precio que tienen no se puede pedir mas. La compre para que mi hija regalara a sus compañeros de guarderia y gustaron mucho. Sencillos pero un precio excelente,4,es,"For the price they have, you can't ask for more. I bought it for my daughter to give to her daycare classmates and they really liked it. Simple but an excellent price"
109,Añade comodidad a la hora de cargar mi smartphone,5,es,Adds convenience when charging my smartphone
110,"Pinza de gran calidad de materiales. Tiene bastante fuerza de amarre y con las zonas de goma que incorporar, es dificil que se escape el móvil o GPS. Tener en cuenta la zona de amarre a la visera del salpicadero, sinó se escapará de la posición. De momento cumple.",3,es,"High quality clamp materials. It has quite a strong grip and with the rubber areas to incorporate, it is difficult for the cell phone or GPS to escape. Take into account the area where it is attached to the dashboard visor, otherwise it will escape from the position. For now it complies."
111,Es más pequeño de lo que dicen...mi perro es de raza pequeña y no cabe. No volvería a comprarlo nunca.,1,es,It's smaller than they say...my dog ​​is a small breed and it doesn't fit. I would never buy it again.
112,"De entre todos de los productos de este tipo que se venden para practicar, es de lo mejor que hay. Absorbe bien el impacto de las agujas y no se quedan surcos como pasa con otros. Y con un poco de paciencia se limpia bien",3,es,"Of all the products of this type that are sold for practice, it is the best there is. It absorbs the impact of the needles well and does not leave grooves like others. And with a little patience it cleans well."
113,Nada q ver con la descripción,1,es,Nothing to do with the description
114,"Tras comprarlo, la verdad, que me fue imposible conectarlo. Encima el soporte que te dan, solo hacer que sentirte aun peor ya que no te ayudan nada. No se dan cuenta de que sabes leer, pero hay algo que está mal explicado. Faltan pasos.",1,es,"After purchasing it, the truth is that it was impossible for me to connect it. On top of that, the support they give you only makes you feel even worse since they don't help you at all. They don't realize that you know how to read, but there is something that is poorly explained. Steps are missing."
115,No entiendo como Amazon permite la venta de este tipo de producto. He seguido las indicaciones del fabricante por la importancia de las primeras cargas y aún así ha durado solo 3 meses,1,es,I don't understand how Amazon allows the sale of this type of product. I have followed the manufacturer's instructions due to the importance of the first charges and it has still only lasted 3 months
116,"El producto es fiel reflejo de la imagen. Llegó puntual, el día estimado. Satisfecho con el contenido y con la compra",4,es,"The product is a true reflection of the image. It arrived on time, on the estimated day. Satisfied with the content and with the purchase"
117,No se corresponde con las medidas que pone el vendedor,1,es,It does not correspond to the measurements provided by the seller
118,Las bombillas parecen bien falta por saber la duración y el consumo Un poco caras,4,es,"The bulbs seem good, we need to know the duration and consumption. A little expensive."
119,"Precioso, a mí hija le encanta leerlo cada noche",5,es,"Beautiful, my daughter loves reading it every night"
